ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB122,TASH025,Tashkent,TASH,slipware,pseudo calligraphic,11th c. CE,Open Vessel - Bowl,68.76,13.55,72.54,4.79,1.2,34742,4.88,12.28,81,1.93,12.41,431.52,1.04,0.8,13.27,91.07,119.21,16.59,34.83,0.38,29.89,5.85,3.62,2.65,66952,741.3,93920,4.46,23022,820.08,8604.2,3935.5,101.05
UZB123,TASH027,Tashkent,TASH,slipware,calligraphic,11th c. CE,Open Vessel - Bowl,73.53,16.9,81.14,8.78,1.28,39850,4.73,0,113.74,2.19,14.22,307.61,1.02,0.85,14.98,130.07,145.25,16.25,37.22,0.42,30.96,6.13,3.19,2.96,74279,710.92,69039,4.95,31504,1146.7,8930.4,4005.8,103.73
UZB124,TASH029,Tashkent,TASH,slipware,calligraphic,10th c. CE,Open Vessel - Bowl,72.18,15.1,78.21,6.48,1.24,38009,4.54,0,106.78,2.16,13.51,340.38,1.03,0.88,14.48,112.87,106.12,14.15,37.03,0.37,32.25,6.02,2.78,2.8,74787,643.23,88290,4.34,25198,887.03,9180.1,3203.2,101.22
UZB125,TASH031,Tashkent,TASH,slipware,polychrome slipware,10th c. CE,Open Vessel - Bowl,70.68,13.81,78.82,6.64,1.25,36353,5.35,20.15,110.03,1.77,12.91,357.48,1.08,0.93,13.72,124.71,139.56,11.97,35.58,0.39,28.79,6.13,3.1,3.12,70867,649.08,80992,4.63,24419,779.17,10084,4088.9,66.97
UZB126,TASH033,Tashkent,TASH,slipware,polychrome slipware with incision,10th c. CE,Open Vessel - Bowl,73.13,12.37,74.99,7.57,1.24,37370,4.93,30,114.25,1.81,13.52,297.99,1.07,1.2,14.35,135.52,128.37,13.36,36.99,0.4,31.69,6.15,3.73,3.1,73520,682.27,64971,4.94,29802,716.59,10261,3429.9,84.66
UZB127,TASH038,Tashkent,TASH,slipware,polychrome slipware with incision,10th c. CE,Open Vessel - Unknown,70.08,12.72,80.66,6.51,1.21,35502,5.84,0,110.06,1.69,12.89,343.4,1.1,0.81,12.82,123.74,129.94,11.03,35.81,0.41,32.23,6.09,3.05,3.05,71452,647.86,58019,4.76,22871,724.37,11344,3689.5,79.6
UZB128,TASH040,Tashkent,TASH,slipware,polychrome slipware - yellow,11th c. CE,Open Vessel - Unknown,74.94,12.94,75.55,8.41,1.27,37139,5.06,34.96,117.47,2.12,13.83,368.42,1,1.14,14.08,123.97,132.02,16.4,38.06,0.44,30.03,6.41,3.18,2.91,71928,831.48,62910,4.99,24211,784.64,9876.9,4040.1,81.39
UZB129,TASH042,Tashkent,TASH,slipware,polychrome slipware - yellow,11th c. CE,Open Vessel - Unknown,70.67,11.86,79.13,7.61,1.2,36588,5.21,0,112.07,2.01,13,253.07,1.08,0.85,13.56,106.61,85.91,13.96,35.6,0.38,31.61,5.98,3.09,2.5,70772,614.31,67296,4.8,26667,761.89,10429,4073.7,99.02
UZB130,TASH043,Tashkent,TASH,slipware,polychrome slipware - yellow,11-12th c. CE,Open Vessel - Unknown,73.31,15.16,78.01,8.01,1.25,38711,5.09,21.6,114.12,1.83,13.72,362.81,1.07,0.82,14.13,90.54,122.41,17.31,37.98,0.39,32.93,6.31,3.37,3.05,75797,668.52,71602,4.87,29497,1044.3,10220,4192.4,101.44
UZB131,TASH045,Tashkent,TASH,slipware,polychrome slipware - yellow,11th c. CE,Open Vessel - Unknown,71.76,13.03,84.41,8.06,1.24,37301,4.77,0,110.72,2.11,13.18,285.72,1.05,0.83,13.74,110.97,110.21,16.64,36.69,0.42,31.85,6.15,3.24,2.51,75367,616.67,69968,4.83,27333,863.35,10025,3771,95.6
