Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K077,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Transparent,KAZ2,,5,0.225549072,0.318886155,6.890478796,32.01011175,0.147579268,0.680843305,1.302376205,0.10639836,0.010916227,0.016932397,0.516227153,,0.05452897,,0.002849442,,57.7163229,100
K088,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Yellow,KAZ11,Cluster,5,0.205727367,0.337027642,4.100970016,35.36538377,,0.697865811,2.226017904,,,0.016994859,0.268746347,0.02036574,0.066447322,1.51E-05,0.009773627,,56.68466447,99.99999998
K090,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ3,,5,1.723548671,0.506407244,4.640952578,43.99111646,,4.50617521,1.08962828,,,0.036897081,0.47267818,0.01543312,0.044461342,1.54E-05,0.002471865,,42.97021461,100
K099,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ14,,5,0.16980883,0.502182526,4.577285775,44.12168088,0.069094889,0.583752676,0.966046413,0.115106803,0.007573771,0.017258123,0.305575468,,0.049171455,,0.000315998,0.047896477,48.46724992,100
K100,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ3,,5,1.302446246,0.687046037,4.761500966,48.64408898,,3.229160348,1.504582222,,,0.027072682,0.471608705,0.018573943,0.056701759,0.002885461,0.005647257,,39.2886854,100
K124,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ3,,5,0.37194265,0.642429803,3.081085789,39.33270141,0.138030473,0.908390543,1.179393395,0.206152056,0.012968218,0.607961917,1.606057819,,0.03577669,,0.005971614,0.000819574,51.87031805,100
K124,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Red,KAZ3,,5,0.343790885,0.508856026,2.699604583,38.32334748,0.134887225,0.720466437,1.12273345,0.174342708,0.008353486,0.02792573,0.520583913,,0.024082464,,0.001585933,0.000586981,55.3888527,100
K129,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,Y,Transparent,KAZ3,Tianshan group,4,0.24416435,0.532432329,3.865855039,32.64579295,0.094062824,0.922859949,0.995183082,0.125307739,0.006843998,0.035414055,1.569008834,,0.123750797,,0.001742043,0.00211188,58.83547013,100
K129,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,Y,Yellow,KAZ3,Tianshan group,5,0.25391519,0.517773528,3.328327301,29.44787572,0.124780715,0.718239694,1.01758833,0.127650818,0.005492238,0.07495724,3.536076884,,0.131920145,,0.005638216,0,60.70976398,100
K129,Lower Barskhan,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,Y,Red,KAZ3,Tianshan group,3,0.257119838,0.534026343,3.370004596,27.79388719,0.113049277,0.799091382,1.159604343,0.124101945,0.009514959,0.067832195,3.518506353,,0.141811305,,0,0.008615935,62.10283434,100
K134,Kulan,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ11,,5,0.180615573,0.150616705,4.364097118,40.31784946,0.031275966,0.607244229,0.447697752,0.04206029,0.0078121,0.016301113,0.274974564,,0.071276648,,0.006491687,0.035531395,53.4461554,100
K134,Kulan,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Yellow,KAZ11,,5,0.219556411,0.131620869,3.500270392,36.97469038,0.015561472,0.650204138,0.524465116,0.060118823,0.012496444,0.011315452,1.23804526,,0.071951328,,0.007616519,0.023662683,56.55842472,100
