"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"BKH21-210-29","Bukhara","Transoxiana","","Slipware - Samanid","N/A",18.6,NA,NA,9.96,NA,NA,NA,NA,0.801,3.51,2.52,0.0559,NA,0.988,NA,NA,9.31,NA,54.1,NA,NA,0.186,NA,0
"BKH22-006-g","Bukhara","Transoxiana","ave","Splashed","N/A",7.89,NA,NA,1.42,NA,NA,NA,0.813,0.65,3.32,0.822,0.217,NA,0.325,NA,NA,11.9,NA,72.6,NA,NA,NA,NA,0
"BKH22-060-u","Bukhara","Transoxiana","ave","Splashed","N/A",15.6,NA,NA,11.4,NA,NA,NA,0.228,3.78,3.71,3.41,0.218,NA,2.28,NA,NA,4.32,NA,55,NA,NA,NA,NA,0
"BKH22-138-al","Bukhara","Transoxiana","","Slipware - Samanid","BUK",20.9,NA,NA,1.85,NA,NA,NA,NA,1.3,5.55,0.905,NA,NA,1.84,NA,NA,9.86,NA,57.2,NA,NA,0.582,NA,0
"BKH22-138-an","Bukhara","Transoxiana","ave","Slipware - Samanid","BUK",14.7,NA,NA,2.92,NA,NA,NA,NA,0.716,4.22,0.544,NA,NA,0.934,NA,NA,12.2,NA,63.8,NA,NA,NA,NA,0
"BKH22-184-ad","Bukhara","Transoxiana","ave","Slipware - Samanid","BUK",17.2,NA,NA,2.5,NA,NA,0.0092,NA,1.88,4.24,0.248,NA,NA,0.414,NA,NA,26.3,NA,47.2,NA,NA,NA,NA,0
"BKH22-222-y","Bukhara","Transoxiana","ave","Slipware - Samanid","BUK",15.9,NA,NA,1.87,NA,NA,NA,1.33,2.51,3.98,0.526,NA,NA,0.622,NA,0.622,15.8,NA,56.5,NA,NA,0.386,NA,0
"DK15","Dandanakan","Merv Oasis","","Splashed","Quartz Biotite B",19.25,NA,NA,0.9495,NA,NA,NA,NA,0.9445,3.85,0.9495,NA,NA,0.7495,NA,2,28.1,NA,43.45,NA,NA,0.8,NA,0
"DK16","Dandanakan","Merv Oasis","","Undetermined","Quartz Biotite B",17.8,NA,NA,0.4505,NA,NA,NA,NA,0.765,4.245,0.6,NA,NA,0.9,NA,NA,20.45,NA,54.1,NA,NA,0.7,NA,0
"DK17","Dandanakan","Merv Oasis","","Undetermined","Quartz Biotite A",19.475,NA,NA,1.07475,NA,NA,NA,NA,1.12475,5.57,0.7245,NA,NA,0.7745,NA,NA,21.15,NA,49.025,NA,NA,1.12475,NA,0
