Sample,Site,Ware,Provenance,Component,Glaze_or_slip_color,Pb,Si,Al,Na,Mg,Ca,Fe,K,Ti,P,Cu,Mn,Cr,Sn,PbO,SiO2,Al2O3,Na2O,MgO,CaO,FeO,K2O,TiO2,P2O5,CuO,MnO,Cr2O3,SnO2
BKH20-95-2,Bukhara,Splashed,unassigned,White Slip,,25.34,26.55,8.78,0.44,0.46,1.32,0.9,3.6,0.38,,,0,,,27.3,56.8,16.59,0.59,0.76,1.85,1.161000012,4.34,0.63,,,,,
BKH20-99-9,Bukhara,Samanid - Slipware,BUK,Red Slip,,25.29,22.59,10.04,0.72,0.11,1.33,6.6,4.03,0.67,,,,,,27.24,48.33,18.97,0.97,0.18,1.86,8.496000085,4.85,1.12,,,,,
BKH20-99-9,Bukhara,Samanid - Slipware,BUK,White Slip,Lower,10.67,33.03,11.02,0.31,0.16,1.46,1.68,3.87,0.52,,,,,,11.49,70.66,20.82,0.42,0.27,2.04,2.160000022,4.66,0.87,,,,,
BKH20-99-9,Bukhara,Samanid - Slipware,BUK,White Slip,Upper     ,21.37,31.72,9.5,0.31,0.25,0.61,1.46,2.31,0.19,,,,,,23.02,67.86,17.95,0.42,0.41,0.85,1.881000019,2.78,0.32,,,,,
BKH21-210-2,Bukhara,Samanid - Slipware,BUK,Brown Slip,,13.84,21.44,7.45,0,0,4.65,5.3,7.52,1.18,,,1.85,,,14.91,45.87,14.08,,,6.51,6.822000068,9.06,1.97,,,2.39,,
BKH21-210-2,Bukhara,Samanid - Slipware,BUK,White Slip,,20.45,27.81,8.75,0.6,0.4,1.47,1.03,4.37,0.3,,,0.11,,,22.03,59.5,16.53,0.81,0.66,2.06,1.323000013,5.26,0.5,,,0.14,,
BKH21-210-29,Bukhara,Samanid - Slipware,N/A,Brown Slip,,7.26,24.06,10.85,0.88,1.6,7.81,2.08,3.07,0.08,,,0.51,,,7.82,51.47,20.5,1.19,2.65,10.93,2.673000027,3.7,0.13,,,0.66,,
BKH21-210-29,Bukhara,Samanid - Slipware,N/A,White Slip,,9.27,27.14,10.54,0.79,1.63,7.64,0.67,3.13,0.12,,,0.05,,,9.99,58.06,19.91,1.06,2.7,10.69,0.864000009,3.77,0.2,,,0.06,,
BKH22-006-g,Bukhara,Splashed,N/A,White Slip,Lower,12.08,36.83,5.29,0.39,0.74,1.15,0.57,3.45,,,0.61,0.03,,,13.01,78.79,10,0.53,1.23,1.61,0.729000007,4.16,,,0.76,0.04,,
BKH22-006-g,Bukhara,Splashed,N/A,White Slip,,14.15,37.05,4.46,0.31,0.76,1.24,0.64,2.54,,,0.72,0.02,,,15.24,79.26,8.43,0.42,1.26,1.74,0.828000008,3.06,,,0.9,0.03,,
BKH22-006-g,Bukhara,Splashed,N/A,White Slip,,10.83,37.56,4.72,0.17,0.37,1.06,0.43,3.57,,,1.4,0.51,,,11.67,80.35,8.92,0.23,0.61,1.48,0.549000005,4.3,,,1.75,0.66,,
BKH22-006-g,Bukhara,Splashed,N/A,White Slip,,12.02,38.83,4.02,0.18,0.33,1.03,0.59,2.66,,,0.15,0,,,12.95,83.07,7.6,0.24,0.55,1.44,0.756000008,3.2,,,0.19,,,
BKH22-060-u,Bukhara,Splashed,unassigned,White Slip,,3.83,28.26,8.58,2.25,0.65,3.04,1.47,5.26,,,0.13,0,,,4.13,60.46,16.21,3.03,1.08,4.25,1.890000019,6.34,,,0.16,,,
BKH22-060-u,Bukhara,Splashed,unassigned,White Slip,Lower,4.12,24.69,8.55,1.51,2.77,11.72,3.64,1.81,,,0,0.02,,,4.44,52.82,16.15,2.04,4.59,16.4,4.680000047,2.18,,,,0.03,,
BKH22-060-u,Bukhara,Splashed,unassigned,White Slip,,4.18,24.78,7.91,1.35,2.81,9.92,3.77,2.24,,,0.23,0.32,,,4.5,53.01,14.95,1.82,4.66,13.88,4.851000049,2.7,,,0.29,0.41,,
BKH22-138-al,Bukhara,Samanid - Slipware,BUK,White Slip,,9.91,28.96,12,1.48,0.59,1.43,1.1,4.99,0.38,,,,,,10.68,61.96,22.67,1.99,0.98,2,1.413000014,6.01,0.63,,,,,
BKH22-138-an,Bukhara,Samanid - Slipware,BUK,Brown Slip,,11.26,24.07,7.44,1.01,0.41,0.86,7.52,3.6,0.35,,0.78,5.09,,,12.13,51.49,14.06,1.36,0.68,1.2,9.675000097,4.34,0.58,,0.98,6.57,,
BKH22-138-an,Bukhara,Samanid - Slipware,BUK,Red Slip,,12.54,27.7,10.43,0.99,0.42,0.48,5.3,3.96,0.44,,0.58,,,,13.51,59.26,19.71,1.33,0.7,0.67,6.822000068,4.77,0.73,,0.73,,,
BKH22-138-an,Bukhara,Samanid - Slipware,BUK,White Slip,Lower,11.77,32.6,9.04,0.96,0.41,2.78,0.59,3.24,,,,,,,12.68,69.74,17.08,1.29,0.68,3.89,0.756000008,3.9,,,,,,
BKH22-138-an,Bukhara,Samanid - Slipware,BUK,White Slip,Upper     ,13.22,33.15,8.13,0.57,0.31,1.82,0.64,4.48,,,,,,,14.24,70.92,15.36,0.77,0.51,2.55,0.828000008,5.4,,,,,,
BKH22-184-ad,Bukhara,Samanid - Slipware,BUK,White Slip,,26.21,26.3,10.12,0.42,0.25,1.06,1.04,3.68,,0,,,0.01,,28.23,56.27,19.12,0.57,0.41,1.48,1.341000013,4.43,,,,,0.01,
BKH22-184-ad,Bukhara,Samanid - Slipware,BUK,White Slip,Lower,16.63,26.89,12.35,0.99,0.45,1.48,1.34,5.01,,,,,0.04,,17.91,57.53,23.33,1.33,0.75,2.07,1.728000017,6.04,,,,,0.06,
BKH22-184-ad,Bukhara,Samanid - Slipware,BUK,White Slip,,26.9,21.62,9.66,0.24,0.08,2.82,2.13,3.98,,,,,0,,28.98,46.25,18.25,0.32,0.13,3.95,2.745000027,4.79,,,,,,
